Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
985822412,58,M,5,Doctorate,Single,UT,72120,yes,yes,no,unknown,Selfemployeed,119886,3
914942603,71,M,3,Post-Graduate,Single,SC,90291,no,no,yes,unknown,Businessman,8250,2
903356886,48,M,2,Doctorate,Married,MI,53022,yes,yes,yes,telephone,Selfemployeed,79417,2
999529223,34,M,3,Unknown,Single,AK,98815,no,yes,no,telephone,Businessman,98581,5
936913810,62,M,5,Doctorate,Married,FL,53010,yes,no,yes,cellular,White-collar,68534,2
932868828,27,F,0,Graduate,Married,HI,90036,yes,no,no,telephone,Businessman,35825,2
929958838,40,F,2,Post-Graduate,Single,MO,90255,yes,yes,yes,telephone,Selfemployeed,40814,4
918728463,58,M,0,Doctorate,Unknown,AK,90291,no,no,yes,cellular,Retirees,70694,3
998847493,38,F,1,Doctorate,Single,SC,91750,no,yes,yes,cellular,Selfemployeed,109371,1
913756669,42,F,0,Post-Graduate,Single,TX,72076,yes,no,no,cellular,Govt,47902,3
990825067,30,F,1,Unknown,Married,SC,90660,no,no,no,telephone,Blue-collar,29882,5
999410741,30,M,1,Unknown,Single,NE,91724,yes,no,yes,cellular,Blue-collar,102256,3
973197857,43,M,0,Post-Graduate,Married,NJ,86503,yes,no,no,unknown,Govt,18800,2
911668732,72,F,2,Uneducated,Unknown,TX,90291,no,yes,yes,unknown,Blue-collar,79417,5
979254563,55,M,5,Post-Graduate,Unknown,FL,91615,no,no,yes,unknown,Blue-collar,88450,3
956629388,59,F,3,Post-Graduate,Unknown,NV,72120,no,no,no,telephone,White-collar,5525,5
904265799,43,F,3,Unknown,Single,NM,91010,no,no,no,unknown,Retirees,44956,1
903999315,22,F,5,Unknown,Married,OH,90255,yes,yes,no,telephone,Retirees,15371,3
912575562,41,F,1,Post-Graduate,Unknown,MI,90275,no,yes,no,telephone,Selfemployeed,20100,2
929345092,72,M,1,Post-Graduate,Married,MN,90266,no,no,yes,unknown,Govt,69810,5
931227216,21,M,2,Post-Graduate,Married,UT,90266,yes,no,no,cellular,Businessman,116439,4
967827638,43,M,4,Unknown,Unknown,SC,90026,no,no,no,telephone,Selfemployeed,87071,5
980801586,63,F,0,Post-Graduate,Unknown,AR,91010,no,no,yes,unknown,Selfemployeed,11114,4
903561597,49,M,1,Post-Graduate,Married,NV,91750,no,no,yes,telephone,Selfemployeed,68693,2
975329037,57,F,3,High School,Unknown,HI,72058,no,no,yes,cellular,Selfemployeed,76189,1
926687537,21,M,2,Uneducated,Married,MN,90660,yes,yes,yes,cellular,Retirees,67550,4
996102525,40,F,0,Graduate,Married,SC,90019,yes,no,no,unknown,Businessman,41660,1
987226012,52,F,2,Uneducated,Unknown,OR,98815,no,no,no,telephone,Selfemployeed,30913,5
994130244,31,F,0,High School,Single,AR,90706,no,no,yes,telephone,Retirees,49700,2
973140807,41,M,0,Graduate,Unknown,TX,90255,yes,no,yes,telephone,Selfemployeed,19506,4
956306997,63,M,5,Post-Graduate,Single,NJ,91615,no,no,no,telephone,Blue-collar,130299,5
929587039,44,M,1,High School,Married,OH,90302,no,no,no,unknown,Selfemployeed,14975,3
960291817,68,M,2,Post-Graduate,Married,IL,90201,no,yes,no,cellular,Govt,18825,5
979089901,46,F,2,Unknown,Single,NE,90201,no,yes,no,unknown,Govt,27567,1
937338124,61,M,5,Doctorate,Married,FL,72058,no,yes,no,telephone,Selfemployeed,119754,2
900872248,47,M,3,High School,Single,AZ,53010,no,yes,yes,telephone,White-collar,10691,2
921429110,35,F,3,Unknown,Single,IL,90250,no,yes,yes,cellular,Blue-collar,85102,5
993702683,34,F,1,High School,Married,TX,90670,no,yes,yes,telephone,Businessman,113787,3
956722344,66,F,1,High School,Single,MA,90029,no,no,yes,unknown,Selfemployeed,104894,1
945667651,70,M,4,Unknown,Unknown,AZ,91723,yes,no,no,unknown,Businessman,14319,5
937295260,63,F,5,Graduate,Unknown,AK,90266,yes,no,yes,cellular,Blue-collar,78525,5
920868105,74,F,3,Uneducated,Married,TX,86446,yes,no,no,unknown,Selfemployeed,100558,2
928898923,71,F,0,Post-Graduate,Married,NV,72076,no,no,no,unknown,White-collar,14975,1
945176955,22,M,2,High School,Single,FL,90660,no,no,no,unknown,Retirees,58590,3
913718431,56,F,1,Post-Graduate,Single,MI,53012,yes,yes,no,unknown,White-collar,26971,2
912448136,70,M,2,Doctorate,Single,TX,90201,no,no,no,telephone,White-collar,227434,5
950992979,26,M,2,Unknown,Single,AK,99504,yes,yes,no,unknown,Retirees,88873,2
912981052,40,F,4,Post-Graduate,Unknown,IL,72058,no,yes,no,cellular,Retirees,88445,2
948181396,28,F,3,Unknown,Unknown,VA,91007,yes,no,yes,cellular,Govt,78491,4
946164955,58,M,1,Post-Graduate,Married,MI,90019,yes,no,no,unknown,Retirees,214196,2
981030736,37,F,2,Uneducated,Single,MO,91730,yes,no,yes,cellular,Selfemployeed,26037,2
935503389,23,F,1,Uneducated,Single,HI,90706,no,no,yes,unknown,Businessman,46810,1
905831819,44,M,0,Uneducated,Married,MO,90250,yes,no,no,cellular,Govt,78452,2
997942942,33,M,4,Uneducated,Single,AZ,91007,no,no,no,cellular,Govt,14975,3
961662963,69,F,0,Uneducated,Single,MI,90029,no,no,yes,unknown,Businessman,52547,5
